TITLE
Example 8.4.2 - End-loaded tapered cantilever

ANALYSIS_TYPE     2 (Plane strain)

LARGE_STRAIN_FORMULATION   OFF

SOLUTION_ALGORITHM  2

ELEMENT_GROUPS 1
  1 1 1

ELEMENT_TYPES 1
  1  QUAD_8
       4 GP

ELEMENTS 150
       1 1    1   177     5   178    51   179    50   180
       2 1    5   181     6   182    52   183    51   178
       3 1    6   184     7   185    53   186    52   182
       4 1    7   187     8   188    54   189    53   185
       5 1    8   190     9   191    55   192    54   188
       6 1    9   193    10   194    56   195    55   191
       7 1   10   196    11   197    57   198    56   194
       8 1   11   199    12   200    58   201    57   197
       9 1   12   202    13   203    59   204    58   200
      10 1   13   205    14   206    60   207    59   203
      11 1   14   208    15   209    61   210    60   206
      12 1   15   211    16   212    62   213    61   209
      13 1   16   214    17   215    63   216    62   212
      14 1   17   217    18   218    64   219    63   215
      15 1   18   220     2   221    19   222    64   218
      16 1   50   179    51   223    65   224    49   225
      17 1   51   183    52   226    66   227    65   223
      18 1   52   186    53   228    67   229    66   226
      19 1   53   189    54   230    68   231    67   228
      20 1   54   192    55   232    69   233    68   230
      21 1   55   195    56   234    70   235    69   232
      22 1   56   198    57   236    71   237    70   234
      23 1   57   201    58   238    72   239    71   236
      24 1   58   204    59   240    73   241    72   238
      25 1   59   207    60   242    74   243    73   240
      26 1   60   210    61   244    75   245    74   242
      27 1   61   213    62   246    76   247    75   244
      28 1   62   216    63   248    77   249    76   246
      29 1   63   219    64   250    78   251    77   248
      30 1   64   222    19   252    20   253    78   250
      31 1   49   224    65   254    79   255    48   256
      32 1   65   227    66   257    80   258    79   254
      33 1   66   229    67   259    81   260    80   257
      34 1   67   231    68   261    82   262    81   259
      35 1   68   233    69   263    83   264    82   261
      36 1   69   235    70   265    84   266    83   263
      37 1   70   237    71   267    85   268    84   265
      38 1   71   239    72   269    86   270    85   267
      39 1   72   241    73   271    87   272    86   269
      40 1   73   243    74   273    88   274    87   271
      41 1   74   245    75   275    89   276    88   273
      42 1   75   247    76   277    90   278    89   275
      43 1   76   249    77   279    91   280    90   277
      44 1   77   251    78   281    92   282    91   279
      45 1   78   253    20   283    21   284    92   281
      46 1   48   255    79   285    93   286    47   287
      47 1   79   258    80   288    94   289    93   285
      48 1   80   260    81   290    95   291    94   288
      49 1   81   262    82   292    96   293    95   290
      50 1   82   264    83   294    97   295    96   292
      51 1   83   266    84   296    98   297    97   294
      52 1   84   268    85   298    99   299    98   296
      53 1   85   270    86   300   100   301    99   298
      54 1   86   272    87   302   101   303   100   300
      55 1   87   274    88   304   102   305   101   302
      56 1   88   276    89   306   103   307   102   304
      57 1   89   278    90   308   104   309   103   306
      58 1   90   280    91   310   105   311   104   308
      59 1   91   282    92   312   106   313   105   310
      60 1   92   284    21   314    22   315   106   312
      61 1   47   286    93   316   107   317    46   318
      62 1   93   289    94   319   108   320   107   316
      63 1   94   291    95   321   109   322   108   319
      64 1   95   293    96   323   110   324   109   321
      65 1   96   295    97   325   111   326   110   323
      66 1   97   297    98   327   112   328   111   325
      67 1   98   299    99   329   113   330   112   327
      68 1   99   301   100   331   114   332   113   329
      69 1  100   303   101   333   115   334   114   331
      70 1  101   305   102   335   116   336   115   333
      71 1  102   307   103   337   117   338   116   335
      72 1  103   309   104   339   118   340   117   337
      73 1  104   311   105   341   119   342   118   339
      74 1  105   313   106   343   120   344   119   341
      75 1  106   315    22   345    23   346   120   343
      76 1   46   317   107   347   121   348    45   349
      77 1  107   320   108   350   122   351   121   347
      78 1  108   322   109   352   123   353   122   350
      79 1  109   324   110   354   124   355   123   352
      80 1  110   326   111   356   125   357   124   354
      81 1  111   328   112   358   126   359   125   356
      82 1  112   330   113   360   127   361   126   358
      83 1  113   332   114   362   128   363   127   360
      84 1  114   334   115   364   129   365   128   362
      85 1  115   336   116   366   130   367   129   364
      86 1  116   338   117   368   131   369   130   366
      87 1  117   340   118   370   132   371   131   368
      88 1  118   342   119   372   133   373   132   370
      89 1  119   344   120   374   134   375   133   372
      90 1  120   346    23   376    24   377   134   374
      91 1   45   348   121   378   135   379    44   380
      92 1  121   351   122   381   136   382   135   378
      93 1  122   353   123   383   137   384   136   381
      94 1  123   355   124   385   138   386   137   383
      95 1  124   357   125   387   139   388   138   385
      96 1  125   359   126   389   140   390   139   387
      97 1  126   361   127   391   141   392   140   389
      98 1  127   363   128   393   142   394   141   391
      99 1  128   365   129   395   143   396   142   393
     100 1  129   367   130   397   144   398   143   395
     101 1  130   369   131   399   145   400   144   397
     102 1  131   371   132   401   146   402   145   399
     103 1  132   373   133   403   147   404   146   401
     104 1  133   375   134   405   148   406   147   403
     105 1  134   377    24   407    25   408   148   405
     106 1   44   379   135   409   149   410    43   411
     107 1  135   382   136   412   150   413   149   409
     108 1  136   384   137   414   151   415   150   412
     109 1  137   386   138   416   152   417   151   414
     110 1  138   388   139   418   153   419   152   416
     111 1  139   390   140   420   154   421   153   418
     112 1  140   392   141   422   155   423   154   420
     113 1  141   394   142   424   156   425   155   422
     114 1  142   396   143   426   157   427   156   424
     115 1  143   398   144   428   158   429   157   426
     116 1  144   400   145   430   159   431   158   428
     117 1  145   402   146   432   160   433   159   430
     118 1  146   404   147   434   161   435   160   432
     119 1  147   406   148   436   162   437   161   434
     120 1  148   408    25   438    26   439   162   436
     121 1   43   410   149   440   163   441    42   442
     122 1  149   413   150   443   164   444   163   440
     123 1  150   415   151   445   165   446   164   443
     124 1  151   417   152   447   166   448   165   445
     125 1  152   419   153   449   167   450   166   447
     126 1  153   421   154   451   168   452   167   449
     127 1  154   423   155   453   169   454   168   451
     128 1  155   425   156   455   170   456   169   453
     129 1  156   427   157   457   171   458   170   455
     130 1  157   429   158   459   172   460   171   457
     131 1  158   431   159   461   173   462   172   459
     132 1  159   433   160   463   174   464   173   461
     133 1  160   435   161   465   175   466   174   463
     134 1  161   437   162   467   176   468   175   465
     135 1  162   439    26   469    27   470   176   467
     136 1   42   441   163   471    41   472     4   473
     137 1  163   444   164   474    40   475    41   471
     138 1  164   446   165   476    39   477    40   474
     139 1  165   448   166   478    38   479    39   476
     140 1  166   450   167   480    37   481    38   478
     141 1  167   452   168   482    36   483    37   480
     142 1  168   454   169   484    35   485    36   482
     143 1  169   456   170   486    34   487    35   484
     144 1  170   458   171   488    33   489    34   486
     145 1  171   460   172   490    32   491    33   488
     146 1  172   462   173   492    31   493    32   490
     147 1  173   464   174   494    30   495    31   492
     148 1  174   466   175   496    29   497    30   494
     149 1  175   468   176   498    28   499    29   496
     150 1  176   470    27   500     3   501    28   498

NODE_COORDINATES 501 CARTESIAN
       1     0.0000000000e+00     0.0000000000e+00
       2     1.5000000000e+02     2.6449047000e+01
       3     1.5000000000e+02     1.2644905000e+02
       4     0.0000000000e+00     1.5289810000e+02
       5     6.9513410759e+00     1.2257089789e+00
       6     1.4250249206e+01     2.5127034067e+00
       7     2.1914102742e+01     3.8640475559e+00
       8     2.9961114198e+01     5.2829527840e+00
       9     3.8410538789e+01     6.7728143049e+00
      10     4.7282396378e+01     8.3371621604e+00
      11     5.6597888553e+01     9.9797347630e+00
      12     6.6379120581e+01     1.1704429867e+01
      13     7.6649448967e+01     1.3515365855e+01
      14     8.7433272918e+01     1.5416844965e+01
      15     9.8756242884e+01     1.7413390064e+01
      16     1.1064539958e+02     1.9509769159e+01
      17     1.2312903496e+02     2.1710970885e+01
      18     1.3623683126e+02     2.4022229021e+01
      19     1.5000000000e+02     3.6449047300e+01
      20     1.5000000000e+02     4.6449047600e+01
      21     1.5000000000e+02     5.6449047900e+01
      22     1.5000000000e+02     6.6449048200e+01
      23     1.5000000000e+02     7.6449048500e+01
      24     1.5000000000e+02     8.6449048800e+01
      25     1.5000000000e+02     9.6449049100e+01
      26     1.5000000000e+02     1.0644904940e+02
      27     1.5000000000e+02     1.1644904970e+02
      28     1.3623683126e+02     1.2887586825e+02
      29     1.2312903496e+02     1.3118712665e+02
      30     1.1064539958e+02     1.3338832863e+02
      31     9.8756242884e+01     1.3548470796e+02
      32     8.7433272918e+01     1.3748125329e+02
      33     7.6649448967e+01     1.3938273261e+02
      34     6.6379120581e+01     1.4119366881e+02
      35     5.6597888553e+01     1.4291836411e+02
      36     4.7282396378e+01     1.4456093689e+02
      37     3.8410538789e+01     1.4612528493e+02
      38     2.9961114198e+01     1.4761514662e+02
      39     2.1914102742e+01     1.4903405201e+02
      40     1.4250249206e+01     1.5038539631e+02
      41     6.9513410759e+00     1.5167239088e+02
      42     0.0000000000e+00     1.3760829000e+02
      43     0.0000000000e+00     1.2231848000e+02
      44     0.0000000000e+00     1.0702867000e+02
      45     0.0000000000e+00     9.1738860000e+01
      46     0.0000000000e+00     7.6449050000e+01
